Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	4dd7755b6ca1f0c9747c1fc0ee4da799f6f1c07108e980bd9f820911ad711ff2	470458430	1755550	470458430	1755550	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	d5cda74eb0947e025e02fb8ed365df39d0a43e4b42cd3573ac2d8fcb29115997	371214214	1346222	371214214	1346222	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	371c10d2526fc0f09dbe9ed59e44dcd949270b27dc42035addd7ff9f7e0d05e7	403528572	1480130	403528572	1480130	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	f7275afb60e33a550df13a132102e7e925dd28965a4efbe510a89b077ff9417f	332039421	1189228	332039421	1189228	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	5d4c62a0671c65a14f6a15093e3efc4f1816d95a5a58fd92486bedaae8d9526b	400105581	1476408	400105581	1476408	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	211e1b6c10260c4620074d2e372c260d38643a3d605f63772524034f0a4a7632	347811707	1251844	347811707	1251844	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	224ce46046fab9a17be4197622825f45cc0c59a6bd1604405148e43768c487ef	328907831	1173032	328907831	1173032	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a27524cfad019df45e4e8316f927346d4cc39da6bdd294fb2c33c3f58e6a8994	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a6664a2d2a82f370a34a36a45234f6b33120a39372331678a3b3690312560ce9	427112903	1591572	427112903	1591572	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	121a0a1b12030616111f02121a0e070716090a0e031c071419121f141409031d	323008499	1156048	323008499	1156048	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	46f8d00030436e4da490a86b331fa6c3251425fb8c19556080e124d75bad7bd6	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	dc45c5f1b700b1334db99f50823321daaef0e6925b9b2fabbc9df7cde65af62e	345487807	1241344	345487807	1241344	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	04f592afc6e57c633b9c55246e7c82e87258f04e2fb910c37d8e2417e9db46e5	483612607	1798680	483612607	1798680	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	8c0fa5d9d6724c5c72c67e055d4bfc36a385ded7c3c81c08cdbd8705829af6e6	409611326	1516770	409611326	1516770	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0004000402010401030101030100040000010104020201030001000204020401	368261307	1335912	368261307	1335912	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	a7cb09f417c3f089619fe25b7624392026382b458486129efcff18f8912bf302	330223844	1182626	330223844	1182626	
Role Payout	e165610232235bbbbeff5b998b233daae42979dec92a6722d9cda989	0c9d3634aeae7038f839a1262d1a8bc724dc77af9426459417a56ec73240f0e0	348811892	1262386	348811892	1262386	
